		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  217  246  254  230  226  251  261  235  7.541803 0.479456 SUCCESS   0
000000011  234  219  254  261  245  246  249  266  6.874528 0.550229 SUCCESS   1
000000101  223  243  248  220  225  251  241  256  6.814155 0.556810 SUCCESS   2
000000111  259  229  234  257  258  239  270  233  7.331029 0.501374 SUCCESS   3
000001001  208  264  241  223  234  268  246  233 12.523069 0.129347 SUCCESS   4
000001011  237  233  238  247  218  236  233  240  4.701116 0.788991 SUCCESS   5
000001101  262  246  247  240  249  237  218  241  4.724417 0.786584 SUCCESS   6
000001111  241  232  236  251  241  233  264  234  3.817770 0.873179 SUCCESS   7
000010001  227  248  266  231  243  223  242  242  5.997537 0.647508 SUCCESS   8
000010011  254  251  242  246  225  259  253  252  3.730918 0.880548 SUCCESS   9
000010101  243  266  252  240  248  256  234  232  4.085739 0.849306 SUCCESS  10
000010111  237  245  245  258  218  232  243  229  5.526207 0.700135 SUCCESS  11
000011001  225  228  227  288  231  240  225  258 15.216532 0.055069 SUCCESS  12
000011011  262  253  245  245  232  252  221  233  5.369451 0.717457 SUCCESS  13
000011101  227  274  243  223  229  248  228  234  9.488554 0.302771 SUCCESS  14
000011111  243  243  233  233  237  227  279  240  7.741986 0.459071 SUCCESS  15
000100011  251  239  244  242  250  249  243  239  0.694284 0.999541 SUCCESS  16
000100101  246  238  264  248  272  262  237  232  7.394579 0.494719 SUCCESS  17
000100111  250  243  255  248  247  258  247  234  2.036250 0.979880 SUCCESS  18
000101001  233  254  224  230  237  235  247  230  4.946843 0.763242 SUCCESS  19
000101011  236  259  243  243  252  241  242  232  2.173942 0.975209 SUCCESS  20
000101101  251  229  236  220  214  254  265  254 10.432272 0.235987 SUCCESS  21
000101111  224  254  228  245  222  228  241  252  6.713534 0.567832 SUCCESS  22
000110011  242  213  243  266  235  251  265  262  9.909043 0.271468 SUCCESS  23
000110101  252  244  238  230  230  260  238  264  5.012511 0.756238 SUCCESS  24
000110111  225  251  240  252  214  262  227  220 10.991513 0.202181 SUCCESS  25
000111001  264  257  264  248  281  242  249  223 11.884391 0.156437 SUCCESS  26
000111011  251  263  271  233  236  239  240  237  5.972117 0.650355 SUCCESS  27
000111101  243  267  246  277  282  245  255  254 13.811017 0.086826 SUCCESS  28
000111111  260  235  264  225  218  252  247  243  7.838370 0.449416 SUCCESS  29
001000011  248  239  237  246  249  253  237  229  2.023540 0.980282 SUCCESS  30
001000101  220  235  251  230  250  244  238  270  7.005865 0.536000 SUCCESS  31
001000111  263  274  265  243  268  257  244  246 10.274456 0.246289 SUCCESS  32
001001011  242  230  254  256  260  242  244  249  3.062583 0.930369 SUCCESS  33
001001101  235  223  226  253  243  211  257  267 11.542280 0.172824 SUCCESS  34
001001111  258  257  231  269  225  256  263  256  9.123141 0.332015 SUCCESS  35
001010011  241  241  249  260  227  240  266  234  5.027339 0.754650 SUCCESS  36
001010101  232  244  234  245  252  255  222  245  3.901444 0.865904 SUCCESS  37
001010111  260  274  256  224  250  227  235  238  9.062768 0.337029 SUCCESS  38
001011011  237  220  232  225  231  267  262  234  9.588115 0.295132 SUCCESS  39
001011101  244  275  249  265  230  244  211  260 12.547430 0.128399 SUCCESS  40
001011111  226  235  244  243  234  244  270  237  5.235995 0.732081 SUCCESS  41
001100101  212  255  238  268  220  239  252  265 12.133295 0.145355 SUCCESS  42
001100111  245  238  239  244  230  242  226  230  3.375038 0.908669 SUCCESS  43
001101011  251  246  214  233  258  229  247  265  8.250387 0.409402 SUCCESS  44
001101101  242  228  240  266  233  218  226  223  9.918576 0.270787 SUCCESS  45
001101111  237  250  234  228  220  268  236  234  7.492023 0.484592 SUCCESS  46
001110101  244  264  242  218  245  245  219  249  7.365982 0.497709 SUCCESS  47
001110111  263  241  267  235  232  245  254  230  6.004951 0.646677 SUCCESS  48
001111011  247  259  257  281  272  246  243  241 10.789212 0.213931 SUCCESS  49
001111101  255  238  226  266  251  233  280  251 10.456633 0.234427 SUCCESS  50
001111111  262  247  250  261  224  242  253  254  5.223285 0.733466 SUCCESS  51
010000011  234  243  271  227  230  238  240  243  5.823833 0.666958 SUCCESS  52
010000111  259  236  216  213  264  246  260  246 11.443777 0.177799 SUCCESS  53
010001011  231  236  244  230  234  222  234  286 12.226502 0.141380 SUCCESS  54
010001111  247  245  254  245  276  261  253  255  6.800386 0.558315 SUCCESS  55
010010011  229  256  251  298  240  214  244  259 18.918323 0.015303 SUCCESS  56
010010111  245  247  242  275  268  253  229  244  7.814010 0.451846 SUCCESS  57
010011011  249  227  237  246  221  216  239  266  9.328619 0.315337 SUCCESS  58
010011111  254  237  213  277  239  274  253  252 13.800425 0.087118 SUCCESS  59
010100011  223  227  250  217  225  267  243  247 10.203492 0.251033 SUCCESS  60
010100111  250  204  222  251  205  258  253  247 16.911201 0.031047 SUCCESS  61
010101011  224  232  226  248  255  259  218  251  8.324528 0.402428 SUCCESS  62
010101111  261  244  233  227  228  236  237  223  6.460393 0.595804 SUCCESS  63
010110011  261  248  236  250  249  252  238  258  3.033986 0.932207 SUCCESS  64
010110111  239  229  250  240  252  259  285  242  9.596589 0.294489 SUCCESS  65
010111011  238  266  229  238  250  249  227  264  6.477340 0.593922 SUCCESS  66
010111111  242  270  256  252  253  260  228  241  6.260211 0.618110 SUCCESS  67
